video_id,trending_date,channel_title,category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,state,lat,lon,geometry,category
cIYLwrEESKg,2018-05-26,VikatanTV,43,601943,3702,926,279,FALSO,FALSO,Dadra And Nagar Haveli,20.26657819,73.01661779999999,POINT (73.01661780000001 20.26657819),Shows
bYP_6IOPv88,2018-05-26,Rickshawali,24,153106,5527,611,831,FALSO,FALSO,Uttar Pradesh,27.59998069,78.05000565,POINT (78.05000565 27.59998069),Entertainment
trEE-BgrT1U,2018-05-26,RadaanMedia,24,352913,1718,491,196,FALSO,FALSO,Sikkim,27.3333303,88.6166475,POINT (88.6166475 27.3333303),Entertainment
LmYWMB-u73M,2018-05-26,Shemaroo,24,430553,1764,451,184,FALSO,FALSO,Tamil Nadu,12.92038576,79.15004187,POINT (79.15004187 12.92038576),Entertainment
BlFePgU5hpw,2018-05-26,Zee TV,24,183193,666,49,28,FALSO,FALSO,Chhattisgarh,22.09042035,82.15998734,POINT (82.15998734 22.09042035),Entertainment
uO2LA8FS-7s,2018-05-26,Zee Marathi,24,278481,1465,161,85,FALSO,FALSO,Puducherry,11.93499371,79.83000037,POINT (79.83000036999999 11.93499371),Entertainment
iEyMyMA3rAI,2018-05-26,Madras Central,24,250915,11092,600,514,FALSO,FALSO,Arunachal Pradesh,27.10039878,93.61660071,POINT (93.61660071 27.10039878),Entertainment
Y0eRSoQdtDk,2018-05-26,Girl Formula,24,260296,5370,684,714,FALSO,FALSO,Nagaland,25.6669979,94.11657019,POINT (94.11657019 25.6669979),Entertainment
bExC7rzOPHM,2018-05-26,Vijay Television,24,698979,5144,271,282,FALSO,FALSO,Jammu And Kashmir,34.29995933,74.46665849,POINT (74.46665849 34.29995933),Entertainment
JO2WC9zl9OE,2018-05-26,etvteluguindia,24,293398,940,352,175,FALSO,FALSO,Manipur,24.79997072,93.95001705,POINT (93.95001705 24.79997072),Entertainment
kPWp6nECYlE,2018-05-26,Manorama News,25,164120,719,56,286,FALSO,FALSO,Arunachal Pradesh,27.10039878,93.61660071,POINT (93.61660071 27.10039878),News & Politics
lzGILT8L_sA,2018-05-26,Mazhavil Manorama,24,197967,1444,369,235,FALSO,FALSO,Sikkim,27.3333303,88.6166475,POINT (88.6166475 27.3333303),Entertainment
c35eFM3ai6o,2018-05-26,Think Music India,10,261421,9777,139,260,FALSO,FALSO,Meghalaya,25.57049217,91.8800142,POINT (91.88001420000001 25.57049217),Music
