video_id,trending_date,channel_title,category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,state,lat,lon,geometry,category
Od0wd_0kw1o,2018-05-28,Sheorans,24,79236,2338,135,331,FALSO,FALSO,Haryana,28.45000633,77.01999101,POINT (77.01999101 28.45000633),Entertainment
duGErpf7Oko,2018-05-28,DVV Entertainments,24,324541,11522,471,395,FALSO,FALSO,Uttar Pradesh,27.59998069,78.05000565,POINT (78.05000565 27.59998069),Entertainment
bzQNnhpK4ao,2018-05-28,Deivamagal Today,22,85882,433,64,6,FALSO,FALSO,Dadra And Nagar Haveli,20.26657819,73.01661779999999,POINT (73.01661780000001 20.26657819),People & Blogs
84k8LN6V-fQ,2018-05-28,Cine Heart TAMIL,24,227429,531,99,115,FALSO,FALSO,Assam,26.7499809,94.21666744,POINT (94.21666743999999 26.7499809),Entertainment
iEyMyMA3rAI,2018-05-28,Madras Central,24,297301,12050,677,538,FALSO,FALSO,Madhya Pradesh,21.30039105,76.13001949,POINT (76.13001949 21.30039105),Entertainment
xrE-WP6-uGw,2018-05-28,Chandragiri Subbu,24,69741,1354,61,433,FALSO,FALSO,Tamil Nadu,12.92038576,79.15004187,POINT (79.15004187 12.92038576),Entertainment
OB19FShQbDg,2018-05-28,Manorama Music Songs,10,243605,5915,149,547,FALSO,FALSO,Orissa,19.82042971,85.90001746,POINT (85.90001746 19.82042971),Music
9qFstfJ70E0,2018-05-28,Zee Bangla,24,105095,429,32,6,FALSO,FALSO,Andaman And Nicobar,11.66702557,92.73598262,POINT (92.73598262 11.66702557),Entertainment
8o9bH_gPoFw,2018-05-28,Rose Telugu Movies,26,50693,244,34,49,FALSO,FALSO,Mizoram,23.71039899,92.72001461,POINT (92.72001461000001 23.71039899),Howto & Style
Dzo_A2j64mY,2018-05-28,Gujarati Media News,25,216259,1498,437,198,FALSO,FALSO,Uttaranchal,30.32040895,78.05000565,POINT (78.05000565 30.32040895),News & Politics
muzsTfb-wlE,2018-05-28,I Love Cricket,17,322009,7788,485,434,FALSO,FALSO,Uttaranchal,30.32040895,78.05000565,POINT (78.05000565 30.32040895),Sports
gG8GmarTeq8,2018-05-28,ETV Plus India,23,724051,4018,749,579,FALSO,FALSO,Dadra And Nagar Haveli,20.26657819,73.01661779999999,POINT (73.01661780000001 20.26657819),Comedy
_BPNKTZoiHQ,2018-05-28,Thanthi TV,25,128527,972,263,338,FALSO,FALSO,West Bengal,22.58039044,88.32994665,POINT (88.32994665 22.58039044),News & Politics
B90ykQqBoek,2018-05-28,1 Kg Biriyani,23,265425,11906,996,654,FALSO,FALSO,Dadra And Nagar Haveli,20.26657819,73.01661779999999,POINT (73.01661780000001 20.26657819),Comedy
nKQH9NwOOpg,2018-05-28,Dinamalar,25,1189926,2871,954,699,FALSO,FALSO,Punjab,31.51997398,75.98000281,POINT (75.98000281 31.51997398),News & Politics
UNIXnayqdHw,2018-05-28,SET India,24,427711,1101,302,66,FALSO,FALSO,Tripura,23.83540428,91.27999914,POINT (91.27999914 23.83540428),Entertainment
xL2hIBjAcdM,2018-05-28,Ditto TV,24,519101,1230,127,102,FALSO,FALSO,Tripura,23.83540428,91.27999914,POINT (91.27999914 23.83540428),Entertainment
FdyaoHTJZok,2018-05-28,Red Pix 24x7,25,166740,2907,141,378,FALSO,FALSO,Chhattisgarh,22.09042035,82.15998734,POINT (82.15998734 22.09042035),News & Politics
TKju1tD7rHI,2018-05-28,Sports Edge,17,278546,12103,887,538,FALSO,FALSO,Goa,15.491997,73.81800065,POINT (73.81800065 15.491997),Sports
SShRUGKhVAw,2018-05-28,Sonotek Bhakti,10,133110,710,140,89,FALSO,FALSO,Chhattisgarh,22.09042035,82.15998734,POINT (82.15998734 22.09042035),Music
SalvkPyC-pk,2018-05-28,Dhaval Domadiya,24,348504,7709,440,366,FALSO,FALSO,West Bengal,22.58039044,88.32994665,POINT (88.32994665 22.58039044),Entertainment
PGoKaLp1Nro,2018-05-28,Colors TV,24,483960,1966,264,140,FALSO,FALSO,Rajasthan,26.44999921,74.63998124,POINT (74.63998124 26.44999921),Entertainment
1A8RmZWuf8c,2018-05-28,Unacademy,27,36649,2206,64,350,FALSO,FALSO,Kerala,8.900372741,76.56999263,POINT (76.56999263 8.900372741),Education
cClJGI_TY_U,2018-05-28,zeetvtelugu,24,159485,261,42,11,FALSO,FALSO,Tripura,23.83540428,91.27999914,POINT (91.27999914 23.83540428),Entertainment
